filename,category,model,which MR is violated,manual check result,False Negative Reason
ILSVRC2012_val_00001120.JPEG,"buckeye, horse chestnut, conker",nasnet_large,MR-1,TP,
ILSVRC2012_val_00001264.JPEG,"paddlewheel, paddle wheel",nasnet_large,MR-1,TP,
ILSVRC2012_val_00001323.JPEG,"lakeside, lakeshore",nasnet_large,MR-1,TP,
ILSVRC2012_val_00001405.JPEG,"bagel, beigel",nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00001428.JPEG,"flagpole, flagstaff",nasnet_large,MR-1,TP,
ILSVRC2012_val_00001537.JPEG,black grouse,nasnet_large,MR-1,TP,
ILSVRC2012_val_00001592.JPEG,torch,resnet101,MR-1,TP,
ILSVRC2012_val_00001592.JPEG,torch,mobilenet,MR-1,TP,
ILSVRC2012_val_00001616.JPEG,folding chair,nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00001658.JPEG,lemon,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00001750.JPEG,turnstile,resnet101,MR-1,TP,
ILSVRC2012_val_00001750.JPEG,turnstile,nasnet_large,MR-1,TP,
ILSVRC2012_val_00001827.JPEG,"horizontal bar, high bar",mobilenet,MR-1,TP,
ILSVRC2012_val_00001828.JPEG,scoreboard,resnet101,MR-1,TP,
ILSVRC2012_val_00001913.JPEG,pickelhaube,nasnet_large,MR-1,TP,
ILSVRC2012_val_00002102.JPEG,turnstile,mobilenet,MR-1,TP,
ILSVRC2012_val_00002110.JPEG,nail,mobilenet,MR-1,TP,
ILSVRC2012_val_00002133.JPEG,space bar,mobilenet,MR-1,TP,
ILSVRC2012_val_00002193.JPEG,"pedestal, plinth, footstall",mobilenet,MR-1,TP,
ILSVRC2012_val_00002219.JPEG,"bell cote, bell cot",mobilenet,MR-1,TP,
ILSVRC2012_val_00002292.JPEG,modem,nasnet_large,MR-1,TP,
ILSVRC2012_val_00002324.JPEG,"ocarina, sweet potato",resnet101,MR-1,TP,
ILSVRC2012_val_00002374.JPEG,nail,resnet101,MR-1,TP,
ILSVRC2012_val_00002376.JPEG,basketball,nasnet_large,MR-1,TP,
ILSVRC2012_val_00002437.JPEG,"pot, flowerpot",nasnet_large,MR-1,TP,
ILSVRC2012_val_00002555.JPEG,rugby ball,mobilenet,MR-1,TP,
ILSVRC2012_val_00002671.JPEG,neck brace,mobilenet,MR-1,TP,
ILSVRC2012_val_00002700.JPEG,"bullet train, bullet",resnet101,MR-1,TP,
ILSVRC2012_val_00002775.JPEG,"dining table, board",nasnet_large,MR-1,TP,
ILSVRC2012_val_00002788.JPEG,street sign,nasnet_large,MR-1,TP,
ILSVRC2012_val_00002842.JPEG,"gong, tam-tam",nasnet_large,MR-1,TP,
ILSVRC2012_val_00002859.JPEG,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",nasnet_large,MR-1,TP,
ILSVRC2012_val_00002865.JPEG,"zucchini, courgette",resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00002872.JPEG,"water ouzel, dipper",nasnet_large,MR-1,TP,
ILSVRC2012_val_00002915.JPEG,orange,nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00002946.JPEG,snorkel,mobilenet,MR-1,TP,
ILSVRC2012_val_00002983.JPEG,head cabbage,mobilenet,MR-1,FP,Incomplete Removal of the Target Object
ILSVRC2012_val_00002993.JPEG,head cabbage,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00002995.JPEG,"paddlewheel, paddle wheel",resnet101,MR-1,TP,
ILSVRC2012_val_00003012.JPEG,mongoose,resnet101,MR-1,FP,Incomplete Removal of the Target Object
ILSVRC2012_val_00003066.JPEG,pill bottle,resnet101,MR-1,TP,
ILSVRC2012_val_00003079.JPEG,"switch, electric switch, electrical switch",mobilenet,MR-1,TP,
ILSVRC2012_val_00003099.JPEG,"bobsled, bobsleigh, bob",mobilenet,MR-1,TP,
ILSVRC2012_val_00003146.JPEG,"bearskin, busby, shako",mobilenet,MR-1,TP,
ILSVRC2012_val_00003282.JPEG,alp,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00003352.JPEG,envelope,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00003517.JPEG,"grille, radiator grille",resnet101,MR-1,TP,
ILSVRC2012_val_00003617.JPEG,basketball,resnet101,MR-1,TP,
ILSVRC2012_val_00003658.JPEG,sarong,mobilenet,MR-1,TP,
ILSVRC2012_val_00003867.JPEG,"rubber eraser, rubber, pencil eraser",resnet101,MR-1,TP,
ILSVRC2012_val_00003873.JPEG,"mountain bike, all-terrain bike, off-roader",nasnet_large,MR-1,TP,
ILSVRC2012_val_00003897.JPEG,volleyball,mobilenet,MR-1,TP,
ILSVRC2012_val_00003897.JPEG,volleyball,resnet101,MR-1,TP,
ILSVRC2012_val_00003899.JPEG,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",nasnet_large,MR-1,TP,
ILSVRC2012_val_00003948.JPEG,"stinkhorn, carrion fungus",mobilenet,MR-1,TP,
ILSVRC2012_val_00004149.JPEG,"bearskin, busby, shako",resnet101,MR-1,TP,
ILSVRC2012_val_00004299.JPEG,"bell cote, bell cot",resnet101,MR-1,FP,Uncertain
ILSVRC2012_val_00004356.JPEG,paintbrush,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00004370.JPEG,volleyball,mobilenet,MR-1,TP,
ILSVRC2012_val_00004377.JPEG,volcano,resnet101,MR-1,FP,Uncertain
ILSVRC2012_val_00004430.JPEG,geyser,nasnet_large,MR-1,TP,
ILSVRC2012_val_00004497.JPEG,"jackfruit, jak, jack",nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00004513.JPEG,vault,nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00004595.JPEG,"pedestal, plinth, footstall",nasnet_large,MR-1,TP,
ILSVRC2012_val_00004595.JPEG,"pedestal, plinth, footstall",resnet101,MR-1,TP,
ILSVRC2012_val_00004740.JPEG,"grille, radiator grille",mobilenet,MR-1,TP,
ILSVRC2012_val_00004855.JPEG,"streetcar, tram, tramcar, trolley, trolley car",nasnet_large,MR-1,TP,
ILSVRC2012_val_00004892.JPEG,"dam, dike, dyke",mobilenet,MR-1,TP,
ILSVRC2012_val_00004991.JPEG,"picket fence, paling",mobilenet,MR-1,TP,
ILSVRC2012_val_00004993.JPEG,basketball,resnet101,MR-1,TP,
ILSVRC2012_val_00004993.JPEG,basketball,nasnet_large,MR-1,TP,
ILSVRC2012_val_00005061.JPEG,bell pepper,mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00005074.JPEG,maypole,resnet101,MR-1,TP,
ILSVRC2012_val_00005074.JPEG,maypole,mobilenet,MR-1,TP,
ILSVRC2012_val_00005131.JPEG,"beacon, lighthouse, beacon light, pharos",resnet101,MR-1,TP,
ILSVRC2012_val_00005131.JPEG,"beacon, lighthouse, beacon light, pharos",mobilenet,MR-1,TP,
ILSVRC2012_val_00005220.JPEG,boathouse,resnet101,MR-1,TP,
ILSVRC2012_val_00005296.JPEG,"sandbar, sand bar",mobilenet,MR-1,FP,Uncertain
ILSVRC2012_val_00005353.JPEG,snowmobile,nasnet_large,MR-1,TP,
ILSVRC2012_val_00005382.JPEG,"beacon, lighthouse, beacon light, pharos",nasnet_large,MR-1,TP,
ILSVRC2012_val_00005499.JPEG,hay,resnet101,MR-1,TP,
ILSVRC2012_val_00005522.JPEG,snorkel,nasnet_large,MR-1,TP,
ILSVRC2012_val_00005549.JPEG,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00005576.JPEG,"water ouzel, dipper",nasnet_large,MR-1,TP,
ILSVRC2012_val_00005631.JPEG,ping-pong ball,mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00005754.JPEG,"picket fence, paling",mobilenet,MR-1,TP,
ILSVRC2012_val_00005773.JPEG,pickelhaube,mobilenet,MR-1,TP,
ILSVRC2012_val_00005871.JPEG,swing,mobilenet,MR-1,TP,
ILSVRC2012_val_00005907.JPEG,"bow tie, bow-tie, bowtie",resnet101,MR-1,TP,
ILSVRC2012_val_00005999.JPEG,fiddler crab,resnet101,MR-1,FP,Incomplete Removal of the Target Object
ILSVRC2012_val_00005999.JPEG,fiddler crab,nasnet_large,MR-1,FP,Incomplete Removal of the Target Object
ILSVRC2012_val_00006081.JPEG,basketball,mobilenet,MR-1,TP,
ILSVRC2012_val_00006081.JPEG,basketball,resnet101,MR-1,TP,
ILSVRC2012_val_00006099.JPEG,basketball,mobilenet,MR-1,TP,
ILSVRC2012_val_00006128.JPEG,"bell cote, bell cot",nasnet_large,MR-1,TP,
ILSVRC2012_val_00006144.JPEG,crane,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00006215.JPEG,ski,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00006215.JPEG,ski,nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00006227.JPEG,"candle, taper, wax light",nasnet_large,MR-1,TP,
ILSVRC2012_val_00006229.JPEG,table lamp,resnet101,MR-1,TP,
ILSVRC2012_val_00006264.JPEG,"spotted salamander, Ambystoma maculatum",nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00006328.JPEG,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",resnet101,MR-1,TP,
ILSVRC2012_val_00006341.JPEG,"cheetah, chetah, Acinonyx jubatus",resnet101,MR-1,TP,
ILSVRC2012_val_00006350.JPEG,"American black bear, black bear, Ursus americanus, Euarctos americanus",nasnet_large,MR-1,TP,
ILSVRC2012_val_00006389.JPEG,rifle,nasnet_large,MR-1,TP,
ILSVRC2012_val_00006437.JPEG,"black widow, Latrodectus mactans",mobilenet,MR-1,TP,
ILSVRC2012_val_00006566.JPEG,"indri, indris, Indri indri, Indri brevicaudatus",resnet101,MR-1,TP,
ILSVRC2012_val_00006578.JPEG,"chain saw, chainsaw",mobilenet,MR-1,TP,
ILSVRC2012_val_00006736.JPEG,"rubber eraser, rubber, pencil eraser",mobilenet,MR-1,TP,
ILSVRC2012_val_00006748.JPEG,fireboat,nasnet_large,MR-1,TP,
ILSVRC2012_val_00006748.JPEG,fireboat,mobilenet,MR-1,TP,
ILSVRC2012_val_00006754.JPEG,"barrel, cask",mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00006884.JPEG,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",nasnet_large,MR-1,TP,
ILSVRC2012_val_00006897.JPEG,croquet ball,nasnet_large,MR-1,TP,
ILSVRC2012_val_00006912.JPEG,triumphal arch,resnet101,MR-1,TP,
ILSVRC2012_val_00006950.JPEG,"switch, electric switch, electrical switch",mobilenet,MR-1,TP,
ILSVRC2012_val_00006976.JPEG,pole,nasnet_large,MR-1,TP,
ILSVRC2012_val_00007021.JPEG,swing,resnet101,MR-1,TP,
ILSVRC2012_val_00007061.JPEG,maypole,mobilenet,MR-1,TP,
ILSVRC2012_val_00007172.JPEG,dowitcher,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00007340.JPEG,"balance beam, beam",nasnet_large,MR-1,TP,
ILSVRC2012_val_00007368.JPEG,cabbage butterfly,resnet101,MR-1,TP,
ILSVRC2012_val_00007441.JPEG,"home theater, home theatre",resnet101,MR-1,TP,
ILSVRC2012_val_00007464.JPEG,hair spray,mobilenet,MR-1,TP,
ILSVRC2012_val_00007494.JPEG,ping-pong ball,mobilenet,MR-1,TP,
ILSVRC2012_val_00007556.JPEG,"toilet tissue, toilet paper, bathroom tissue",mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00007613.JPEG,coral reef,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00007653.JPEG,volleyball,resnet101,MR-1,TP,
ILSVRC2012_val_00007653.JPEG,volleyball,mobilenet,MR-1,TP,
ILSVRC2012_val_00007756.JPEG,table lamp,resnet101,MR-1,TP,
ILSVRC2012_val_00007789.JPEG,barber chair,resnet101,MR-1,TP,
ILSVRC2012_val_00007865.JPEG,Band Aid,nasnet_large,MR-1,TP,
ILSVRC2012_val_00007865.JPEG,Band Aid,mobilenet,MR-1,TP,
ILSVRC2012_val_00007964.JPEG,"panpipe, pandean pipe, syrinx",nasnet_large,MR-1,TP,
ILSVRC2012_val_00008035.JPEG,"American egret, great white heron, Egretta albus",resnet101,MR-1,TP,
ILSVRC2012_val_00008121.JPEG,beer bottle,nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00008263.JPEG,"dugong, Dugong dugon",nasnet_large,MR-1,TP,
ILSVRC2012_val_00008315.JPEG,oil filter,nasnet_large,MR-1,TP,
ILSVRC2012_val_00008325.JPEG,"ear, spike, capitulum",mobilenet,MR-1,TP,
ILSVRC2012_val_00008329.JPEG,"buckeye, horse chestnut, conker",nasnet_large,MR-1,TP,
ILSVRC2012_val_00008371.JPEG,plate rack,nasnet_large,MR-1,TP,
ILSVRC2012_val_00008389.JPEG,croquet ball,nasnet_large,MR-1,TP,
ILSVRC2012_val_00008495.JPEG,"water ouzel, dipper",nasnet_large,MR-1,TP,
ILSVRC2012_val_00008497.JPEG,"unicycle, monocycle",resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00008533.JPEG,"home theater, home theatre",nasnet_large,MR-1,TP,
ILSVRC2012_val_00008612.JPEG,"bow tie, bow-tie, bowtie",nasnet_large,MR-1,TP,
ILSVRC2012_val_00008691.JPEG,"odometer, hodometer, mileometer, milometer",mobilenet,MR-1,TP,
ILSVRC2012_val_00008753.JPEG,geyser,nasnet_large,MR-1,FP,Uncertain
ILSVRC2012_val_00008779.JPEG,"microwave, microwave oven",resnet101,MR-1,TP,
ILSVRC2012_val_00008865.JPEG,scoreboard,nasnet_large,MR-1,TP,
ILSVRC2012_val_00008872.JPEG,snowmobile,mobilenet,MR-1,TP,
ILSVRC2012_val_00008883.JPEG,"seat belt, seatbelt",resnet101,MR-1,FP,Uncertain
ILSVRC2012_val_00008907.JPEG,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",resnet101,MR-1,TP,
ILSVRC2012_val_00009044.JPEG,"racket, racquet",resnet101,MR-1,TP,
ILSVRC2012_val_00009076.JPEG,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",resnet101,MR-1,TP,
ILSVRC2012_val_00009229.JPEG,whistle,mobilenet,MR-1,TP,
ILSVRC2012_val_00009276.JPEG,volleyball,mobilenet,MR-1,TP,
ILSVRC2012_val_00009300.JPEG,"grille, radiator grille",resnet101,MR-1,TP,
ILSVRC2012_val_00009337.JPEG,"racket, racquet",resnet101,MR-1,TP,
ILSVRC2012_val_00009436.JPEG,"projectile, missile",resnet101,MR-1,TP,
ILSVRC2012_val_00009442.JPEG,"plow, plough",nasnet_large,MR-1,TP,
ILSVRC2012_val_00009450.JPEG,school bus,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00009457.JPEG,"red-backed sandpiper, dunlin, Erolia alpina",resnet101,MR-1,TP,
ILSVRC2012_val_00009495.JPEG,"medicine chest, medicine cabinet",nasnet_large,MR-1,FP,Uncertain
ILSVRC2012_val_00009527.JPEG,volleyball,resnet101,MR-1,TP,
ILSVRC2012_val_00009568.JPEG,reel,nasnet_large,MR-1,TP,
ILSVRC2012_val_00009606.JPEG,"drilling platform, offshore rig",nasnet_large,MR-1,TP,
ILSVRC2012_val_00009734.JPEG,stingray,nasnet_large,MR-1,TP,
ILSVRC2012_val_00009736.JPEG,"sax, saxophone",mobilenet,MR-1,TP,
ILSVRC2012_val_00009743.JPEG,boathouse,mobilenet,MR-1,TP,
ILSVRC2012_val_00009753.JPEG,snorkel,nasnet_large,MR-1,TP,
ILSVRC2012_val_00009801.JPEG,"aircraft carrier, carrier, flattop, attack aircraft carrier",resnet101,MR-1,FP,Uncertain
ILSVRC2012_val_00009840.JPEG,whistle,mobilenet,MR-1,TP,
ILSVRC2012_val_00009840.JPEG,whistle,nasnet_large,MR-1,TP,
ILSVRC2012_val_00010026.JPEG,rapeseed,mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00010063.JPEG,"maillot, tank suit",nasnet_large,MR-1,TP,
ILSVRC2012_val_00010081.JPEG,barbell,resnet101,MR-1,TP,
ILSVRC2012_val_00010213.JPEG,"meat loaf, meatloaf",nasnet_large,MR-1,TP,
ILSVRC2012_val_00010217.JPEG,football helmet,resnet101,MR-1,TP,
ILSVRC2012_val_00010224.JPEG,scoreboard,mobilenet,MR-1,TP,
ILSVRC2012_val_00010255.JPEG,briard,nasnet_large,MR-1,TP,
ILSVRC2012_val_00010313.JPEG,"dogsled, dog sled, dog sleigh",nasnet_large,MR-1,TP,
ILSVRC2012_val_00010337.JPEG,gondola,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00010347.JPEG,fountain,mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00010424.JPEG,dung beetle,resnet101,MR-1,TP,
ILSVRC2012_val_00010567.JPEG,pickelhaube,mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00010580.JPEG,"zucchini, courgette",resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00010674.JPEG,cliff dwelling,resnet101,MR-1,FP,Uncertain
ILSVRC2012_val_00010752.JPEG,"seat belt, seatbelt",mobilenet,MR-1,TP,
ILSVRC2012_val_00010873.JPEG,geyser,mobilenet,MR-1,FP,Uncertain
ILSVRC2012_val_00010882.JPEG,"switch, electric switch, electrical switch",mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00010940.JPEG,maypole,nasnet_large,MR-1,TP,
ILSVRC2012_val_00011074.JPEG,"ringlet, ringlet butterfly",nasnet_large,MR-1,TP,
ILSVRC2012_val_00011091.JPEG,rugby ball,resnet101,MR-1,TP,
ILSVRC2012_val_00011091.JPEG,rugby ball,mobilenet,MR-1,TP,
ILSVRC2012_val_00011116.JPEG,"bearskin, busby, shako",resnet101,MR-1,FP,Uncertain
ILSVRC2012_val_00011116.JPEG,"bearskin, busby, shako",mobilenet,MR-1,FP,Uncertain
ILSVRC2012_val_00011255.JPEG,sea lion,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00011270.JPEG,"seashore, coast, seacoast, sea-coast",resnet101,MR-1,TP,
ILSVRC2012_val_00011274.JPEG,bassoon,nasnet_large,MR-1,TP,
ILSVRC2012_val_00011310.JPEG,comic book,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00011395.JPEG,"punching bag, punch bag, punching ball, punchball",mobilenet,MR-1,TP,
ILSVRC2012_val_00011445.JPEG,envelope,mobilenet,MR-1,TP,
ILSVRC2012_val_00011504.JPEG,barbell,nasnet_large,MR-1,TP,
ILSVRC2012_val_00011546.JPEG,sliding door,nasnet_large,MR-1,TP,
ILSVRC2012_val_00011589.JPEG,cabbage butterfly,mobilenet,MR-1,TP,
ILSVRC2012_val_00011660.JPEG,boathouse,resnet101,MR-1,TP,
ILSVRC2012_val_00011670.JPEG,baseball,nasnet_large,MR-1,TP,
ILSVRC2012_val_00011670.JPEG,baseball,mobilenet,MR-1,TP,
ILSVRC2012_val_00011679.JPEG,"apiary, bee house",mobilenet,MR-1,TP,
ILSVRC2012_val_00011839.JPEG,"grille, radiator grille",nasnet_large,MR-1,TP,
ILSVRC2012_val_00012029.JPEG,ski mask,mobilenet,MR-1,TP,
ILSVRC2012_val_00012051.JPEG,"slide rule, slipstick",mobilenet,MR-1,TP,
ILSVRC2012_val_00012084.JPEG,Windsor tie,mobilenet,MR-1,TP,
ILSVRC2012_val_00012252.JPEG,bubble,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00012264.JPEG,"bannister, banister, balustrade, balusters, handrail",nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00012315.JPEG,cabbage butterfly,nasnet_large,MR-1,TP,
ILSVRC2012_val_00012352.JPEG,"switch, electric switch, electrical switch",nasnet_large,MR-1,TP,
ILSVRC2012_val_00012370.JPEG,hair spray,resnet101,MR-1,TP,
ILSVRC2012_val_00012403.JPEG,canoe,mobilenet,MR-1,TP,
ILSVRC2012_val_00012403.JPEG,canoe,nasnet_large,MR-1,TP,
ILSVRC2012_val_00012449.JPEG,ski,mobilenet,MR-1,TP,
ILSVRC2012_val_00012479.JPEG,"balance beam, beam",mobilenet,MR-1,TP,
ILSVRC2012_val_00012499.JPEG,jellyfish,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00012612.JPEG,"bullet train, bullet",nasnet_large,MR-1,TP,
ILSVRC2012_val_00012642.JPEG,"racket, racquet",resnet101,MR-1,TP,
ILSVRC2012_val_00012642.JPEG,"racket, racquet",mobilenet,MR-1,TP,
ILSVRC2012_val_00012848.JPEG,"flagpole, flagstaff",resnet101,MR-1,TP,
ILSVRC2012_val_00012869.JPEG,"hand blower, blow dryer, blow drier, hair dryer, hair drier",nasnet_large,MR-1,TP,
ILSVRC2012_val_00012979.JPEG,wing,resnet101,MR-1,TP,
ILSVRC2012_val_00013025.JPEG,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",resnet101,MR-1,TP,
ILSVRC2012_val_00013071.JPEG,croquet ball,nasnet_large,MR-1,TP,
ILSVRC2012_val_00013191.JPEG,canoe,mobilenet,MR-1,TP,
ILSVRC2012_val_00013216.JPEG,table lamp,resnet101,MR-1,TP,
ILSVRC2012_val_00013292.JPEG,football helmet,mobilenet,MR-1,TP,
ILSVRC2012_val_00013405.JPEG,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",nasnet_large,MR-1,TP,
ILSVRC2012_val_00013529.JPEG,"dock, dockage, docking facility",mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00013575.JPEG,pickelhaube,resnet101,MR-1,TP,
ILSVRC2012_val_00013594.JPEG,"ballplayer, baseball player",nasnet_large,MR-1,TP,
ILSVRC2012_val_00013644.JPEG,umbrella,mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00013676.JPEG,agaric,nasnet_large,MR-1,TP,
ILSVRC2012_val_00013689.JPEG,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",resnet101,MR-1,TP,
ILSVRC2012_val_00013710.JPEG,"ear, spike, capitulum",mobilenet,MR-1,TP,
ILSVRC2012_val_00013786.JPEG,space bar,nasnet_large,MR-1,TP,
ILSVRC2012_val_00013796.JPEG,stage,mobilenet,MR-1,TP,
ILSVRC2012_val_00013796.JPEG,stage,nasnet_large,MR-1,TP,
ILSVRC2012_val_00013811.JPEG,"pedestal, plinth, footstall",mobilenet,MR-1,TP,
ILSVRC2012_val_00013836.JPEG,"racket, racquet",nasnet_large,MR-1,TP,
ILSVRC2012_val_00013837.JPEG,"seat belt, seatbelt",mobilenet,MR-1,TP,
ILSVRC2012_val_00013914.JPEG,torch,resnet101,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00014016.JPEG,"lakeside, lakeshore",nasnet_large,MR-1,TP,
ILSVRC2012_val_00014117.JPEG,Sussex spaniel,nasnet_large,MR-1,TP,
ILSVRC2012_val_00014127.JPEG,"seat belt, seatbelt",mobilenet,MR-1,TP,
ILSVRC2012_val_00014135.JPEG,"pot, flowerpot",mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00014161.JPEG,geyser,resnet101,MR-1,TP,
ILSVRC2012_val_00014207.JPEG,cliff dwelling,nasnet_large,MR-1,FP,Uncertain
ILSVRC2012_val_00014221.JPEG,"miniskirt, mini",mobilenet,MR-1,TP,
ILSVRC2012_val_00014226.JPEG,acorn,mobilenet,MR-1,TP,
ILSVRC2012_val_00014338.JPEG,"bobsled, bobsleigh, bob",resnet101,MR-1,TP,
ILSVRC2012_val_00014383.JPEG,alp,mobilenet,MR-1,FP,Uncertain
ILSVRC2012_val_00014383.JPEG,alp,nasnet_large,MR-1,FP,Uncertain
ILSVRC2012_val_00014487.JPEG,"patio, terrace",mobilenet,MR-1,TP,
ILSVRC2012_val_00014516.JPEG,fountain,mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00014565.JPEG,volleyball,mobilenet,MR-1,TP,
ILSVRC2012_val_00014725.JPEG,padlock,nasnet_large,MR-1,TP,
ILSVRC2012_val_00014760.JPEG,whistle,nasnet_large,MR-1,TP,
ILSVRC2012_val_00014761.JPEG,head cabbage,mobilenet,MR-1,FP,Incomplete Removal of the Target Object
ILSVRC2012_val_00014761.JPEG,head cabbage,resnet101,MR-1,FP,Incomplete Removal of the Target Object
ILSVRC2012_val_00014789.JPEG,"quill, quill pen",nasnet_large,MR-1,TP,
ILSVRC2012_val_00014818.JPEG,"bullet train, bullet",mobilenet,MR-1,TP,
ILSVRC2012_val_00014864.JPEG,street sign,nasnet_large,MR-1,TP,
ILSVRC2012_val_00014893.JPEG,vault,nasnet_large,MR-1,TP,
